"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Shop API","0","Products","6","0","Product Management","0"
"0","Shop API","0","Authentication","2","0","Login","0"
"0","Shop API","0","Orders","4","0","Admin Orders","0"
"0","Shop API","0","Orders","3","0","Create Order","0"
"0","Shop API","0","Cart","1","0","View Cart","0"
"0","Shop API","0","Products","5","0","Product List","0"
"0","Shop API","0","Authentication","2","0","Registration","0"
"0","Shop API","0","Authentication","3","0","User Profile","0"
"0","Shop API","0","Orders","3","0","View Orders","0"
"0","Shop API","0","Cart","3","0","Add to Cart","0"
"0","Shop API","0","Cart","2","0","Remove from Cart","0"
"0","Shop API","0","Products","2","0","Product Details","0"
"0","Shop API","0","Cart","1","0","Update Cart","0"
